辞書,文境界,キー（＝表層形）,語彙素,語彙素細分類,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形),語彙素ID
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,メモリ,メモリー,memory,メモリー,名詞-普通名詞-一般,,,メモリ,メモリ,外,メモリ,メモリ,37479
現代語,I,上,上,,ジョウ,接尾辞-名詞的-副詞可能,,,ジョー,ジョウ,漢,上,ジョウ,18467
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,保持,保持,,ホジ,名詞-普通名詞-サ変可能,,,ホジ,ホジ,漢,保持,ホジ,34684
現代語,I,する,為る,,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル,19537
現代語,I,だけ,だけ,,ダケ,助詞-副助詞,,,ダケ,ダケ,和,だけ,ダケ,23122
現代語,I,で,だ,,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ,22916
現代語,I,いい,良い,,ヨイ,形容詞-非自立可能,形容詞,終止形-一般,イー,イイ,和,いい,イイ,38988
現代語,I,から,から,,カラ,助詞-接続助詞,,,カラ,カラ,和,から,カラ,7218
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,軽い,軽い,,カルイ,形容詞-一般,形容詞,連体形-一般,カルイ,カルイ,和,軽い,カルイ,7308
現代語,I,ん,の,,ノ,助詞-準体助詞,,,ン,ン,和,ん,ン,28990
現代語,I,です,です,,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス,25653
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,描画,描画,,ビョウガ,名詞-普通名詞-サ変可能,,,ビョーガ,ビョウガ,漢,描画,ビョウガ,32082
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,重い,重い,,オモイ,形容詞-一般,形容詞,連体形-一般,オモイ,オモイ,和,重い,オモイ,5222
現代語,I,の,の,,ノ,助詞-準体助詞,,,ノ,ノ,和,の,ノ,28990
現代語,I,で,だ,,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ,22916
現代語,I,switch,,,,名詞,,,,,,,,　
現代語,I,ノード,ノード,node,ノード,名詞-普通名詞-一般,,,ノード,ノード,外,ノード,ノード,29314
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,工夫,工夫,,クフウ,名詞-普通名詞-サ変可能,,,クフー,クフウ,漢,工夫,クフウ,10325
現代語,I,する,為る,,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル,19537
現代語,I,必要,必要,,ヒツヨウ,名詞-普通名詞-形状詞可能,,,ヒツヨー,ヒツヨウ,漢,必要,ヒツヨウ,31473
現代語,I,が,が,,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
現代語,I,あり,有る,,アル,動詞-非自立可能,五段-ラ行,連用形-一般,アリ,アリ,和,ある,アル,1216
現代語,I,ます,ます,,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス,35697
現代語,I,が,が,,ガ,助詞-接続助詞,,,ガ,ガ,和,が,ガ,7888
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,これ,此れ,,コレ,代名詞,,,コレ,コレ,和,これ,コレ,13095
現代語,I,くらい,くらい,,クライ,助詞-副助詞,,,クライ,クライ,和,くらい,クライ,10403
現代語,I,なら,だ,,ダ,助動詞,助動詞-ダ,仮定形-一般,ナラ,ナラ,和,だ,ダ,22916
現代語,I,不要,不要,,フヨウ,形状詞-一般,,,フヨー,フヨウ,漢,不要,フヨウ,33046
現代語,I,でしょう,です,,デス,助動詞,助動詞-デス,意志推量形,デショー,デショウ,和,です,デス,25653
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,過去,過去,,カコ,名詞-普通名詞-副詞可能,,,カコ,カコ,漢,過去,カコ,6319
現代語,I,板,板,,イタ,名詞-普通名詞-一般,,,イタ,イタ,和,板,イタ,1993
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,へー,へえ,,ヘエ,感動詞-一般,,,ヘー,ヘー,和,へー,ヘエ,34098
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,よく,良く,,ヨク,副詞,,,ヨク,ヨク,和,よく,ヨク,39182
現代語,I,知っ,知る,,シル,動詞-一般,五段-ラ行,連用形-促音便,シッ,シッ,和,知る,シル,17162
現代語,I,てる,てる,,テル,助動詞,下一段-タ行,終止形-一般,テル,テル,和,てる,テル,25287
現代語,I,ね,ね,,ネ,助詞-終助詞,,,ネ,ネ,和,ね,ネ,28754
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,蓮田,ハスダ,,ハスダ,名詞-固有名詞-地名-一般,,,ハスダ,ハスダ,固,蓮田,ハスダ,85404
現代語,I,君,君,,クン,接尾辞-名詞的-一般,,,クン,クン,漢,君,クン,10654
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,蒔田,マキタ,,マキタ,名詞-固有名詞-人名-姓,,,マキタ,マキタ,固,蒔田,マキタ,35537
現代語,I,君,君,,クン,接尾辞-名詞的-一般,,,クン,クン,漢,君,クン,10654
現代語,I,って,って,,ッテ,助詞-副助詞,,,ッテ,ッテ,和,って,ッテ,24319
現代語,I,どっち,何方,,ドチラ,代名詞,,,ドッチ,ドッチ,和,どっち,ドッチ,27280
現代語,I,が,が,,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
現代語,I,もっと,もっと,,モット,副詞,,,モット,モット,和,もっと,モット,37798
現代語,I,すごい,凄い,,スゴイ,形容詞-一般,形容詞,連体形-一般,スゴイ,スゴイ,和,すごい,スゴイ,19163
現代語,I,の,の,,ノ,助詞-終助詞,,,ノ,ノ,和,の,ノ,28991
現代語,I,？,？,,,補助記号-句点,,,,,記号,？,,57
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,蓮田,ハスダ,,ハスダ,名詞-固有名詞-人名-姓,,,ハスダ,ハスダ,固,蓮田,ハスダ,79541
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,それ,其れ,,ソレ,代名詞,,,ソレ,ソレ,和,それ,ソレ,21461
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,一概,一概,,イチガイ,名詞-普通名詞-一般,,,イチガイ,イチガイ,漢,一概,イチガイ,2063
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,決め,決める,,キメル,動詞-一般,下一段-マ行,未然形-一般,キメ,キメ,和,決める,キメル,8850
現代語,I,られ,られる,,ラレル,助動詞,助動詞-レル,連用形-一般,ラレ,ラレ,和,られる,ラレル,39787
現代語,I,ませ,ます,,マス,助動詞,助動詞-マス,未然形-一般,マセ,マセ,和,ます,マス,35697
現代語,I,ん,ず,,ズ,助動詞,助動詞-ヌ,終止形-撥音便,ン,ン,和,ぬ,ヌ,19587
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,（,（,,,補助記号-括弧開,,,,,記号,（,,46
現代語,I,君付け,君付け,,クンヅケ,名詞-普通名詞-一般,,,クンズケ,クンヅケ,混,君付け,クンヅケ,51176
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,距離,距離,,キョリ,名詞-普通名詞-一般,,,キョリ,キョリ,漢,距離,キョリ,9441
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,証拠,証拠,,ショウコ,名詞-普通名詞-一般,,,ショーコ,ショウコ,漢,証拠,ショウコ,16648
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,いら,要る,,イル,動詞-一般,五段-ラ行,未然形-一般,イラ,イラ,和,いる,イル,2587
現代語,I,ない,ない,,ナイ,助動詞,助動詞-ナイ,連体形-一般,ナイ,ナイ,和,ない,ナイ,27438
現代語,I,分析,分析,,ブンセキ,名詞-普通名詞-サ変可能,,,ブンセキ,ブンセキ,漢,分析,ブンセキ,33606
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,我,我,,ワレ,代名詞,,,ワレ,ワレ,和,我,ワレ,41378
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,まだ,未だ,,マダ,副詞,,,マダ,マダ,和,まだ,マダ,35745
現代語,I,名前,名前,,ナマエ,名詞-普通名詞-一般,,,ナマエ,ナマエ,和,名前,ナマエ,27957
現代語,I,すら,すら,,スラ,助詞-副助詞,,,スラ,スラ,和,すら,スラ,19494
現代語,I,呼ん,呼ぶ,,ヨブ,動詞-一般,五段-バ行,連用形-撥音便,ヨン,ヨン,和,呼ぶ,ヨブ,39448
現代語,I,で,て,,テ,助詞-接続助詞,,,デ,デ,和,で,デ,24874
現代語,I,い,居る,,イル,動詞-非自立可能,上一段-ア行,未然形-一般,イ,イ,和,いる,イル,2585
現代語,I,ない,ない,,ナイ,助動詞,助動詞-ナイ,終止形-一般,ナイ,ナイ,和,ない,ナイ,27438
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,過去,過去,,カコ,名詞-普通名詞-副詞可能,,,カコ,カコ,漢,過去,カコ,6319
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,我,我,,ワレ,代名詞,,,ワレ,ワレ,和,我,ワレ,41378
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,もっと,もっと,,モット,副詞,,,モット,モット,和,もっと,モット,37798
現代語,I,…,…,,,補助記号-一般,,,,,記号,…,,6
現代語,I,…,…,,,補助記号-一般,,,,,記号,…,,6
現代語,I,）,）,,,補助記号-括弧閉,,,,,記号,）,,49
現代語,B,過去,過去,,カコ,名詞-普通名詞-副詞可能,,,カコ,カコ,漢,過去,カコ,6319
現代語,I,板,板,,イタ,名詞-普通名詞-一般,,,イタ,イタ,和,板,イタ,1993
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,そう,そう,,ソウ,副詞,,,ソー,ソウ,和,そう,ソウ,20935
現代語,I,いえ,言う,,イウ,動詞-一般,五段-ワア行,仮定形-一般,イエ,イエ,和,いう,イウ,1571
現代語,I,ば,ば,,バ,助詞-接続助詞,,,バ,バ,和,ば,バ,30503
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,蓮田,ハスダ,,ハスダ,名詞-固有名詞-地名-一般,,,ハスダ,ハスダ,固,蓮田,ハスダ,85404
現代語,I,君,君,,クン,接尾辞-名詞的-一般,,,クン,クン,漢,君,クン,10654
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,落ち着い,落ち着く,,オチツク,動詞-一般,五段-カ行,連用形-イ音便,オチツイ,オチツイ,和,落ち着く,オチツク,5021
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,よ,よ,,ヨ,助詞-終助詞,,,ヨ,ヨ,和,よ,ヨ,38980
現代語,I,ね,ね,,ネ,助詞-終助詞,,,ネ,ネ,和,ね,ネ,28754
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,何,何,,ナニ,代名詞,,,ナニ,ナニ,和,何,ナニ,27920
現代語,I,か,か,,カ,助詞-副助詞,,,カ,カ,和,か,カ,5568
現代語,I,あっ,有る,,アル,動詞-非自立可能,五段-ラ行,連用形-促音便,アッ,アッ,和,ある,アル,1216
現代語,I,た,た,,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ,21642
現代語,I,の,の,,ノ,助詞-終助詞,,,ノ,ノ,和,の,ノ,28991
現代語,I,？,？,,,補助記号-句点,,,,,記号,？,,57
現代語,I,変わっ,変わる,,カワル,動詞-一般,五段-ラ行,連用形-促音便,カワッ,カワッ,和,変わる,カワル,7447
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,ね,ね,,ネ,助詞-終助詞,,,ネ,ネ,和,ね,ネ,28754
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,蓮田,ハスダ,,ハスダ,名詞-固有名詞-人名-姓,,,ハスダ,ハスダ,固,蓮田,ハスダ,79541
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,特に,特に,,トクニ,副詞,,,トクニ,トクニ,混,特に,トクニ,26323
現代語,I,なかっ,無い,,ナイ,形容詞-非自立可能,形容詞,連用形-促音便,ナカッ,ナカッ,和,ない,ナイ,27442
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,です,です,,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス,25653
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,（,（,,,補助記号-括弧開,,,,,記号,（,,46
現代語,I,本気,本気,,ホンキ,名詞-普通名詞-形状詞可能,,,ホンキ,ホンキ,漢,本気,ホンキ,34882
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,言っ,言う,,イウ,動詞-一般,五段-ワア行,連用形-促音便,イッ,イッ,和,言う,イウ,1571
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,いる,居る,,イル,動詞-非自立可能,上一段-ア行,連体形-一般,イル,イル,和,いる,イル,2585
現代語,I,の,の,,ノ,助詞-準体助詞,,,ノ,ノ,和,の,ノ,28990
現代語,I,か,か,,カ,助詞-終助詞,,,カ,カ,和,か,カ,5569
現代語,I,？,？,,,補助記号-句点,,,,,記号,？,,57
現代語,I,あの,彼の,,アノ,連体詞,,,アノ,アノ,和,あの,アノ,912
現代語,I,日,日,,ヒ,名詞-普通名詞-副詞可能,,,ヒ,ヒ,和,日,ヒ,31098
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,こと,事,,コト,名詞-普通名詞-一般,,,コト,コト,和,こと,コト,12836
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,—,—,,,補助記号-一般,,,,,記号,—,,86206
現代語,I,—,—,,,補助記号-一般,,,,,記号,—,,86206
現代語,I,）,）,,,補助記号-括弧閉,,,,,記号,）,,49
現代語,B,過去,過去,,カコ,名詞-普通名詞-副詞可能,,,カコ,カコ,漢,過去,カコ,6319
現代語,I,板,板,,イタ,名詞-普通名詞-一般,,,イタ,イタ,和,板,イタ,1993
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,昔,昔,,ムカシ,名詞-普通名詞-副詞可能,,,ムカシ,ムカシ,和,昔,ムカシ,37012
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,蓮田,ハスダ,,ハスダ,名詞-固有名詞-地名-一般,,,ハスダ,ハスダ,固,蓮田,ハスダ,85404
現代語,I,くん,君,,クン,接尾辞-名詞的-一般,,,クン,クン,漢,くん,クン,10654
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,結構,結構,,ケッコウ,副詞,,,ケッコー,ケッコウ,漢,結構,ケッコウ,11130
現代語,I,はっきり,はっきり,,ハッキリ,副詞,,,ハッキリ,ハッキリ,和,はっきり,ハッキリ,29839
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,し,為る,,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
現代語,I,た,た,,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ,21642
現代語,I,性格,性格,,セイカク,名詞-普通名詞-一般,,,セーカク,セイカク,漢,性格,セイカク,19725
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,好き,好き,,スキ,形状詞-一般,,,スキ,スキ,和,好き,スキ,19068
現代語,I,だっ,だ,,ダ,助動詞,助動詞-ダ,連用形-促音便,ダッ,ダッ,和,だ,ダ,22916
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,けど,けれど,,ケレド,助詞-接続助詞,,,ケド,ケド,和,けど,ケド,11238
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,今,今,,イマ,名詞-普通名詞-副詞可能,,,イマ,イマ,和,今,イマ,2460
現代語,I,も,も,,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
現代語,I,いい,良い,,ヨイ,形容詞-非自立可能,形容詞,終止形-一般,イー,イイ,和,いい,イイ,38988
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,思う,思う,,オモウ,動詞-一般,五段-ワア行,終止形-一般,オモウ,オモウ,和,思う,オモウ,5255
現代語,I,よ,よ,,ヨ,助詞-終助詞,,,ヨ,ヨ,和,よ,ヨ,38980
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,人,人,,ヒト,名詞-普通名詞-一般,,,ヒト,ヒト,和,人,ヒト,31500
現代語,I,って,って,,ッテ,助詞-副助詞,,,ッテ,ッテ,和,って,ッテ,24319
現代語,I,何,何,,ナニ,代名詞,,,ナニ,ナニ,和,何,ナニ,27920
現代語,I,も,も,,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
現代語,I,なく,無い,,ナイ,形容詞-非自立可能,形容詞,連用形-一般,ナク,ナク,和,ない,ナイ,27442
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,も,も,,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
現代語,I,変われる,変わる,,カワル,動詞-一般,下一段-ラ行,連体形-一般,カワレル,カワレル,和,変われる,カワレル,7447
現代語,I,ん,の,,ノ,助詞-準体助詞,,,ン,ン,和,ん,ン,28990
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,ねえ,ね,,ネ,助詞-終助詞,,,ネー,ネエ,和,ねえ,ネエ,28754
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,本当,本当,,ホントウ,名詞-普通名詞-一般,,,ホントー,ホントウ,漢,本当,ホントウ,34947
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,技術,技術,,ギジュツ,名詞-普通名詞-一般,,,ギジュツ,ギジュツ,漢,技術,ギジュツ,9798
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,夢中,夢中,,ムチュウ,形状詞-一般,,,ムチュー,ムチュウ,漢,夢中,ムチュウ,37151
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,ね,ね,,ネ,助詞-終助詞,,,ネ,ネ,和,ね,ネ,28754
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,好き,好き,,スキ,形状詞-一般,,,スキ,スキ,和,好き,スキ,19068
現代語,I,だっ,だ,,ダ,助動詞,助動詞-ダ,連用形-促音便,ダッ,ダッ,和,だ,ダ,22916
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,B,（,（,,,補助記号-括弧開,,,,,記号,（,,46
現代語,I,好き,好き,,スキ,形状詞-一般,,,スキ,スキ,和,好き,スキ,19068
現代語,I,？,？,,,補助記号-句点,,,,,記号,？,,57
現代語,I,振っ,振る,,フル,動詞-一般,五段-ラ行,連用形-促音便,フッ,フッ,和,振る,フル,33146
現代語,I,た,た,,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ,21642
現代語,I,くせ,癖,,クセ,名詞-普通名詞-一般,,,クセ,クセ,和,くせ,クセ,10173
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,…,…,,,補助記号-一般,,,,,記号,…,,6
現代語,I,…,…,,,補助記号-一般,,,,,記号,…,,6
現代語,I,あの,彼の,,アノ,連体詞,,,アノ,アノ,和,あの,アノ,912
現代語,I,日,日,,ヒ,名詞-普通名詞-副詞可能,,,ヒ,ヒ,和,日,ヒ,31098
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,あの,彼の,,アノ,連体詞,,,アノ,アノ,和,あの,アノ,912
現代語,I,教室,教室,,キョウシツ,名詞-普通名詞-一般,,,キョーシツ,キョウシツ,漢,教室,キョウシツ,9228
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,君,君,代名詞,キミ,代名詞,,,キミ,キミ,和,君,キミ,8820
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,はっきり,はっきり,,ハッキリ,副詞,,,ハッキリ,ハッキリ,和,はっきり,ハッキリ,29839
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,言っ,言う,,イウ,動詞-一般,五段-ワア行,連用形-促音便,イッ,イッ,和,言う,イウ,1571
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,じゃ,だ,,ダ,助動詞,助動詞-ダ,連用形-融合,ジャ,ジャ,和,だ,ダ,22916
現代語,I,ない,無い,,ナイ,形容詞-非自立可能,形容詞,終止形-一般,ナイ,ナイ,和,ない,ナイ,27442
現代語,I,か,か,,カ,助詞-終助詞,,,カ,カ,和,か,カ,5569
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,ごめん,御免,,ゴメン,名詞-普通名詞-一般,,,ゴメン,ゴメン,漢,ごめん,ゴメン,13563
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,蓮田,ハスダ,,ハスダ,名詞-固有名詞-地名-一般,,,ハスダ,ハスダ,固,蓮田,ハスダ,85404
現代語,I,くん,君,,クン,接尾辞-名詞的-一般,,,クン,クン,漢,くん,クン,10654
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,気持ち,気持ち,,キモチ,名詞-普通名詞-一般,,,キモチ,キモチ,混,気持ち,キモチ,8853
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,応え,答える,,コタエル,動詞-一般,下一段-ア行,未然形-一般,コタエ,コタエ,和,応える,コタエル,12752
現代語,I,られ,られる,,ラレル,助動詞,助動詞-レル,未然形-一般,ラレ,ラレ,和,られる,ラレル,39787
現代語,I,ない,ない,,ナイ,助動詞,助動詞-ナイ,終止形-一般,ナイ,ナイ,和,ない,ナイ,27438
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,I,って,って,,ッテ,助詞-副助詞,,,ッテ,ッテ,和,って,ッテ,24319
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,その,其の,,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ,21394
現代語,I,くせ,癖,,クセ,名詞-普通名詞-一般,,,クセ,クセ,和,くせ,クセ,10173
現代語,I,今,今,,イマ,名詞-普通名詞-副詞可能,,,イマ,イマ,和,今,イマ,2460
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,なっ,成る,,ナル,動詞-非自立可能,五段-ラ行,連用形-促音便,ナッ,ナッ,和,なる,ナル,28061
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,—,—,,,補助記号-一般,,,,,記号,—,,86206
現代語,I,—,—,,,補助記号-一般,,,,,記号,—,,86206
現代語,I,）,）,,,補助記号-括弧閉,,,,,記号,）,,49
現代語,B,蓮田,ハスダ,,ハスダ,名詞-固有名詞-人名-姓,,,ハスダ,ハスダ,固,蓮田,ハスダ,79541
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,…,…,,,補助記号-一般,,,,,記号,…,,6
現代語,I,…,…,,,補助記号-一般,,,,,記号,…,,6
現代語,I,技術,技術,,ギジュツ,名詞-普通名詞-一般,,,ギジュツ,ギジュツ,漢,技術,ギジュツ,9798
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,夢中,夢中,,ムチュウ,形状詞-一般,,,ムチュー,ムチュウ,漢,夢中,ムチュウ,37151
現代語,I,に,だ,,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
現代語,I,なっ,成る,,ナル,動詞-非自立可能,五段-ラ行,連用形-促音便,ナッ,ナッ,和,なる,ナル,28061
現代語,I,た,た,,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ,21642
現代語,I,理由,理由,,リユウ,名詞-普通名詞-一般,,,リユー,リユウ,漢,理由,リユウ,40189
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,君,君,代名詞,キミ,代名詞,,,キミ,キミ,和,君,キミ,8820
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,知っ,知る,,シル,動詞-一般,五段-ラ行,連用形-促音便,シッ,シッ,和,知る,シル,17162
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,いる,居る,,イル,動詞-非自立可能,上一段-ア行,連体形-一般,イル,イル,和,いる,イル,2585
現代語,I,はず,筈,,ハズ,名詞-普通名詞-一般,,,ハズ,ハズ,和,はず,ハズ,29740
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,（,（,,,補助記号-括弧開,,,,,記号,（,,46
現代語,I,口,口,,クチ,名詞-普通名詞-一般,,,クチ,クチ,和,口,クチ,10196
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,出し,出す,,ダス,動詞-非自立可能,五段-サ行,連用形-一般,ダシ,ダシ,和,出す,ダス,23145
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,しまっ,仕舞う,,シマウ,動詞-非自立可能,五段-ワア行,連用形-促音便,シマッ,シマッ,和,しまう,シマウ,15738
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,これ,此れ,,コレ,代名詞,,,コレ,コレ,和,これ,コレ,13095
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,明らか,明らか,,アキラカ,形状詞-一般,,,アキラカ,アキラカ,和,明らか,アキラカ,431
